                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                  2.084,                 1.3892,                 1.3967,                0.82935,                0.59078,                0.70223,                0.39657,                  1.974,                 1.1355,                 1.3165,               0.007162,               0.007162,               0.007162
                     88,                 2.0923,                 1.3998,                  1.401,                0.83436,                0.59343,                0.70513,                0.39769,                 1.9741,                 1.1321,                  1.318,               0.007129,               0.007129,               0.007129
                     89,                 2.0813,                 1.3815,                    1.4,                0.83424,                 0.5934,                0.70483,                0.39836,                 1.9674,                 1.1293,                 1.3159,               0.007096,               0.007096,               0.007096
                     90,                 2.0739,                 1.3766,                 1.3934,                0.83491,                0.59105,                0.70463,                0.39739,                 1.9687,                 1.1295,                  1.315,               0.007063,               0.007063,               0.007063
                     91,                 2.0821,                 1.3801,                 1.3914,                 0.8399,                0.59316,                0.70635,                0.39805,                 1.9696,                 1.1255,                 1.3156,                0.00703,                0.00703,                0.00703
                     92,                 2.0665,                 1.3717,                 1.3917,                0.83214,                 0.5942,                0.70659,                0.39795,                 1.9661,                 1.1243,                 1.3142,               0.006997,               0.006997,               0.006997
                     93,                 2.0732,                 1.3674,                 1.3843,                0.83428,                0.59565,                0.70825,                0.39868,                 1.9606,                 1.1226,                 1.3113,               0.006964,               0.006964,               0.006964
                     94,                 2.0743,                 1.3712,                 1.3932,                0.83211,                0.59949,                0.70949,                0.39887,                 1.9576,                 1.1206,                 1.3096,               0.006931,               0.006931,               0.006931
                     95,                 2.0691,                 1.3636,                 1.3858,                0.83535,                0.59854,                0.70868,                0.40028,                 1.9548,                 1.1192,                 1.3078,               0.006898,               0.006898,               0.006898
                     96,                 2.0623,                 1.3661,                 1.3821,                0.84197,                0.59566,                0.70906,                0.40122,                 1.9522,                 1.1147,                 1.3074,               0.006865,               0.006865,               0.006865
                     97,                 2.0519,                 1.3626,                 1.3848,                0.83924,                0.59736,                0.71031,                0.40209,                  1.948,                 1.1133,                 1.3063,               0.006832,               0.006832,               0.006832
                     98,                 2.0654,                 1.3544,                 1.3846,                0.83609,                0.60015,                0.71025,                0.40241,                 1.9457,                 1.1121,                 1.3042,               0.006799,               0.006799,               0.006799
                     99,                 2.0627,                 1.3608,                 1.3845,                0.83737,                0.59913,                0.71092,                0.40214,                 1.9466,                 1.1117,                 1.3039,               0.006766,               0.006766,               0.006766
                    100,                 2.0536,                 1.3583,                 1.3779,                0.83964,                0.59899,                0.71254,                0.40405,                  1.944,                   1.11,                 1.3032,               0.006733,               0.006733,               0.006733
                    101,                 2.0519,                 1.3481,                 1.3786,                0.84051,                0.59807,                 0.7119,                0.40417,                 1.9449,                 1.1094,                 1.3025,                 0.0067,                 0.0067,                 0.0067
                    102,                 2.0523,                 1.3478,                 1.3759,                0.84534,                0.59864,                  0.714,                0.40469,                 1.9445,                 1.1066,                 1.3016,               0.006667,               0.006667,               0.006667
                    103,                 2.0539,                 1.3521,                  1.377,                0.83391,                0.60495,                0.71437,                0.40551,                 1.9429,                 1.1031,                  1.301,               0.006634,               0.006634,               0.006634
                    104,                 2.0441,                 1.3376,                 1.3724,                0.84078,                0.60283,                0.71473,                0.40546,                 1.9422,                 1.1012,                 1.3001,               0.006601,               0.006601,               0.006601
                    105,                 2.0479,                 1.3377,                  1.372,                0.83764,                0.60471,                0.71599,                0.40549,                  1.941,                  1.102,                 1.2997,               0.006568,               0.006568,               0.006568
                    106,                  2.042,                 1.3418,                 1.3707,                0.83675,                0.60529,                 0.7172,                0.40626,                 1.9385,                 1.0989,                 1.2985,               0.006535,               0.006535,               0.006535
                    107,                 2.0311,                 1.3269,                 1.3652,                0.83881,                0.60585,                0.71863,                0.40787,                 1.9378,                 1.0961,                 1.2975,               0.006502,               0.006502,               0.006502
                    108,                 2.0434,                 1.3386,                  1.375,                0.84277,                0.60305,                0.71834,                0.40828,                 1.9359,                 1.0956,                 1.2967,               0.006469,               0.006469,               0.006469
                    109,                 2.0365,                 1.3333,                 1.3722,                0.83895,                0.60541,                0.71837,                 0.4085,                 1.9344,                 1.0935,                 1.2957,               0.006436,               0.006436,               0.006436
                    110,                 2.0394,                 1.3352,                 1.3693,                0.84348,                0.60416,                0.71975,                0.40886,                  1.931,                 1.0924,                 1.2949,               0.006403,               0.006403,               0.006403
                    111,                  2.025,                 1.3231,                 1.3671,                0.83316,                0.60809,                0.71969,                0.40898,                 1.9301,                 1.0919,                 1.2941,                0.00637,                0.00637,                0.00637
                    112,                 2.0358,                 1.3214,                 1.3677,                0.83451,                 0.6078,                0.71965,                0.40946,                 1.9291,                  1.091,                 1.2935,               0.006337,               0.006337,               0.006337
                    113,                 2.0259,                 1.3376,                 1.3717,                0.83741,                0.60837,                0.72053,                0.41036,                 1.9271,                 1.0898,                 1.2927,               0.006304,               0.006304,               0.006304
                    114,                 2.0184,                 1.3295,                 1.3642,                0.83932,                 0.6074,                0.72133,                0.41024,                 1.9257,                 1.0889,                 1.2918,               0.006271,               0.006271,               0.006271
